query,ground_truth,predicted_answer
"ACEPLUS SALES COMPANY wants to pay its employees a bonus as an incentive. It is decided that 70% of the labor-cost savings for the quarter will be distributed to the employees. The employer will retain 30%. The quarterly sales information is: Total Sales Total Labor cost $100,000. $32,000. The standard total cost of labor is 40% of the adjusted sales price. (i) What is the total amount to be paid to the employees as an incentive? (ii) What percentage of wages earned in the quarter will the workers receive as bonus? (The bonus will be paid as a set percentage of the employee's earnings).",E,B
"During a 6-month heating season, a homeowner expects to average $40 a month for fuel oil. He has purchased the following amounts to date: $37.50, $42.60, $39.80, $40.75, $44.10. What amount will he spend during the last month to maintain the expected average?",A,C
"Jack receives a 5% commission on all sales. If his sales for the week are $1,200, how much commission does he earn?",J,C
"Mr. Atlas had a note for $45,000. He discounted it at his bank 120 days before it was due. The bank's discount rate was 6%. Find Mr. Atlas' proceeds.",A,D
"Two pumping systems are being considered for use on a project. The gasoline pump will cost $3,500, has a 6 year life year, and a $500 salvage value. Annual operating and repair costs would be $2,000 the first year, and would rise $300 each succeeding year. The electric pumping system costs $12,000, has a life of 6 years and a salvage value of $1,000. Annual operating and maintenance costs would be $1,000 the first year, and would rise $150 each year. If the current interest rate is 10%, compare the equivalent annual costs of the two pumping systems. Assume all maintenance and repair costs are paid at the end of each year.",F,A
Mrs. Reeves accepted a note for $815.50 at 6% with a four month term on December 10. On January 10 she had it discounted at 6(1/2)%. A (1/8)% charge for collection when due was also made. How much did she receive?,E,C
"John's-Rent-A-Truck purchased a van for $4,500. The truck isexpected to last 100,000 miles, and then have a trade-in valueof $500. What is the cost of deprecia-tion per mile?",J,A
"Daniel receives at 6.5% commission on all sales. If he received a $275.08 commission, what were his sales?",E,B
"The Global Bus Company purchases a bus for $40,000, and depreciates it on a straight-line basis for five years. What is the book value of the bus after 2 years of service?",F,D
"On January 1, 1964, Stead and Company purchased a delivery truck for $4,000. It is estimated that the truck will have a useful life of four years, and that at the end of that time it will have a salvage value (resale value) of $400. It is expected that the truck will be used for 72,000 miles. Find the depreciation per year, if the truck was used for 20,000 miles during the first year, 25,000 miles during the second year, 18,000 miles during the third year and 9,000 miles during the fourth year. Use the units of production method for determining depreciation.",H,F
"Jim Miller bought a vacuum cleaner priced at $69.75, with a 5% discount. The state sales tax was 3% and the city sales tax was 4%. How much did Jim pay for the cleaner?",A,C
"The McDougall Company produces and sells two qualities of carpet. The better quality carpeting sells for $6.00 per yard and has variable costs of 70 percent of sales. The other type costs $3.00 per yard and has variable costs of 60 percent of sales. Total fixed costs of both types of carpet combined are $122,200. If both carpets have the same dollar sales, how many yards of each must be sold to earn a profit of $50,000?",D,C
"Mr. Haskell has decided to buy a rental property. The building costs $50,000 and the land costs $30,000. The annual rent income is estimated to be $10,450 and the annual expense, $3,200. Mr. Haskell plans to depreciate the building by the straight line method over 40 years. Mr. Haskell wants to choose the best of three investment plans. Plan A Pay the full $80,000 from personal account. Plan B Borrow $30,000 and pay $50,000 from personal account. Rate of interest is 4(1/2)%. Plan C Borrow $60,000 and pay $20,000 from personal account. Rate of interest is 5 (1/4)%. If the tax rate is 40%, which investment plan has the highest rate of return?",E,C
"Costs for producing one widget: Materials:2 parts (a) $25.00 per part Expenses :$10.00 Labor :20 operations (a) $5.00 per operation Based on the above information, which is the only valid conclusion? (A) The selling price should be $160 per widget. (B) labor rates are excessive (C) output is labor intensive (D) material costs are low",C,C
"Costs for producing one widget: Materials:2 parts (a) $25.00 per part Expenses :$10.00 Labor :20 operations (a) $5.00 per operation Based on the above information, which is the only valid conclusion? (A) The selling price should be $160 per widget. (B) labor rates are excessive (C) output is labor intensive (D) material costs are low",F,B
A $250 stove can be purchased under the installment plan for a $25 down-payment and 12 monthly payments of $20. What is the financing charge?,I,C
"Given that the cost of mimeographing x number of copies is C(x) = 0.005x + [(4500) / x], what is the number of copies that will minimize the cost?",H,A
Paul took a loan of $384.75 for 60 days at 6% interest. How much interest did he pay?,B,C
"Williamsville has a total assessed valuation of property of $6,250,000.The town requires $360,000 for educational purposesand $115,000 for health and welfare needs. What isthe town's tax rate in dollars per $100.",E,C
"A bicycle selling for $82 can be purchased on the installment plan with no down-payment, but a 10% per year finance charge. How much should each of the monthly payments be to pay off the bicycle in six months?",G,D
"A business started last year with an inventory of 90,000 items which cost $60,000 and had a selling price of $80,000, At the end of the year, the inventory consisted of 70,000 items which cost $90,000 and had a selling price of $120,000. Records indicate that, during the year, 360,000 items were sold which cost $300,000, with net sales of $380,000. What are thestockturnrates at cost, selling price, and number of units?",J,A
"A typewriter is priced at $80, less series discounts of 20%, 10%, 5%. What is the net price?",E,E
(A) How many gallons are there in 12 liters? (B) How many liters are there in 10 quarts? Metric to Customary Units Customary to Metric Units 1 liter = 1.057 quarts .264 gallon 1 quart = .946 liter 1 gallon = 3.785 liters 1 milliliter = .0338 ounce 1 ounce = 29.57 milliliters,A,A
"PhilLeFrancpurchased (25 / 50) bodily injury insurance and $10,000 property damage insurance.The base premium for thebodily injury insurance was $101, while the base premiumfor the property damage coverage was $48. If Phil hada total factor of 1.37 for bodily injury and a total factor of 1.10forproperty damage, what was his premium for each typeof coverage?",A,A
"A portable color television, listed at $280, is being sold at a discount, net price $196. What is the discount rate?",B,B
"______ are the obligations of workers towards their employer, based on individual contracts and wider employment laws.",G,G
" _______ can be a likened to their natural counterparts, comprising of a balanced network of interdependent organisms and their environments thus adding value to sustainability thinking due to the consideration of companies and industries as being bound together, and interdependent due to all kinds of resources and wastes.",C,C
"A corporation is ________ from its managers, employees, investors and customers. It therefore has _______ succession and also ________.",E,E
" _______, where actors are convinced that their actions harms nobody, _______ where actors argue that their norm violation is an attempt to realize higher-order values and ________ , where actors argue they are owed something, are all strategies for justifying or denying unethical behaviour.",J,A
 Which of the following is the rate at which a market adopts an innovation?,G,G
" According to the British Government, which of the following is not a marketing function?",D,D
"On August 4, a store purchased five sofas invoiced at $7,000, terms 2/10 , n/30 . The invoice was paid August 13. The store paid",G,D
" This is a part of the communication process where the sender selects a combination of appropriate words, pictures, symbols, and music to represent a message to be transmitted:",G,G
Which of the following is the best example of a trade discount?,D,D
Who of the following is a leading writer on contingency theory of leadership?,I,I
What is not an advantage of a hierarchical structure?,C,C
In what order do managers typically perform the managerial functions?,F,F
"Aisha graduates college and starts a job. She saves $1000 each quarter, depositing it into a retirement savings account. Suppose that Aisha saves for 30 years and then retires. At retirement she wants to withdraw money as an annuity that pays a constant amount every month for 25 years. During the savings phase, the retirement account earns 6% interest compounded quarterly. During the annuity payout phase, the retirement account earns 4.8% interest compounded monthly. Calculate Aisha’s monthly retirement annuity payout.",E,B
"Consider an arbitrage-free securities market model, in which the risk-free interest rate is constant. There are two nondividend-paying stocks whose price processes are:
$S_1(t)=S_1(0)e^{0.1t+0.2Z(t)}$
$S_2(t)=S_2(0)e^{0.125t+0.3Z(t)}$
where $Z(t)$ is a standard Brownian motion ant $t\ge0$. What is the continuously compounded risk-free interest rate?",C,D
You are given: (i) The current exchange rate is 0.011$/¥. (ii) A four-year dollar-denominated European put option on yen with a strike price of $0.008 sells for $0.0005. (iii) The continuously compounded risk-free interest rate on dollars is 3%. (iv) The continuously compounded risk-free interest rate on yen is 1.5%. Calculate the price of a four-year yen-denominated European put option on dollars with a strike price of ¥125.,E,C
How much would a $100-deductible collision insurance policypay on an accident causing a repair bill of $89.90. How much would be paid against a $50-deductible policy on arepair bill of $76.40 resulting from a collision?,A,G
"A reclining chair has a list price of $635 with a trade discount of 16%. What is the net price, i.e., the market price?",E,A
"Bill deposits $1,000 for 4 years at 5% interest, compounded annually. What is its accumulated value?",C,C
Mr. Smith wishes to find out how much interest he will receive on $300 if the rate is 3% compounded annually for three years.,C,B
"Mr. Fields owns a house worth $30,000. He insures it with a $20,000 fire insurance policy that contains an 80% coinsurance clause. As a result of fire, the house is damaged to the extent of $10,800. How much will the insurance company pay on the loss?",D,F
"How much interest will Paul have to pay on a 60-day loan of $823 at 4% per year, computed by the exact time method?",I,B
"Montgomery's Department Store insured one of its buildings for $30,000 at the rate of $2.50 per $1,000. What would the cost be for three consecutive one-year policies? What would the cost be for a 3-year policy? What is the difference between the two?",G,C
"Mr. Charles owns a brick building, worth $35,000, and stock, valued at $9,500. He wishes to insure each at 4/5 of their value. If the insurance rates are $.23 per $100 and $.21 per $100, respectively, what is the cost of his coverage?",F,B
"The distributors of oil from theMoloRepublic are willing to buy 60-p barrels per day, when p = dollars per barrel. The Republic's officials are willing to supply (p^2 / 10) barrels per day. i) What is the equilibrium price of oil? ii) How many barrels will be sold at the equilibrium price?",J,C
"Ms. Edwards' disposable income (that is, her income after taxes have been paid) has risen from $19,000 to $20,000. Her expenditures have risen from $15,200 to $15,950. 1) What is her marginal propensity to consume? 2) What is her marginal propensity to save?",E,A
"Steve King buys dress slacks on sale at $33.15 for two pairs, the sales tax is 5.5%. How much does he pay for four pairs of slacks?",F,B
"How much interest did Paul pay on his loan of $1,285 for 2(1 / 2) years, given that the rate of interest was 5(1 / 2) %?",B,B
A record sells for $3.24. There is a 35% markup based on the selling price. Find the cost of the record.,I,C
"A canning company bought a $15,000 piece of machinery for its vegetable farm. The machinery is expected to last six years at which time it will have no residual value. The company wishes to use the maximum percentage allowable under the declining-balance method for computing the depreciation. Find the depreciation and book value for the first three years of operation.",B,A
"An automobile that cost $3,000 four years ago is now worth $1,000. What is the average yearly depreciation?",G,A
"Two power line construction routes are being considered. Route A is 15 miles long and goes around a lake. Each mile will cost $6,000 to build and $2,000 a year to maintain. At the end of fifteen years, each mile will have a salvage value of $3,000. Route B is an underwater line that cuts 5 miles across the lake. Construction costs will be $31,000 per mile and annual maintenance costs, $400 per mile. The salvage value at the end of fifteen years will be $6,000 per mile. Assuming interest is 8% and taxes are 3% of the construction costs of each power line, compare the annual costs of Route A and Route B for the first year.",A,A
The total cost of producing x cameras is C(x) = 2 + x^3. What is the average cost if 10 cameras are made? What is the marginal cost of producing 10 cameras?,J,B
"On October 17, Thomas Long purchased two $1,000 bonds, bearing 6% interest payable January 1 and July 1, at 98. Find his total cost, and the net proceeds to the seller. Assume a brokerage fee of $5 per bond.",D,D
"A shoe factory has fixed costs of $1200 per day, and variable costs of $1.50 per shoe. Find a linear cost function to represent their daily costs.",C,C
"The Danbury Hat Company has total fixed costs of $10,500. They make summer hats at a cost of $1.50 a hat. They sell the hats for $5. How much profit will they make if they create and sell 46,500 summer hats?",A,B
"The Dickenson Company has purchased a hand-operated machine of the following description; after a year, it can purchase an automatic machine of equal capacity and sell the first machine for $1,600. The following data is available: Hand-Operated Machine Automatic Machine Purchase price $4,400 $6,200 Expected Useful life 5 years 4 years Expected salvage value $0 $0 Annual operating costs $2,600 $800 The current interest rate is 8%. Which of the following options should the company chose? Option A - Keep the hand-operated machine 5 years. Option B - Keep the hand-operated machine 1 year, sell it, and purchase the automatic to use for 4 years. Round all calculations to the nearest dollar.",D,D
"Finch Analysts installed a new computer terminal in their main offices. It has been estimated that the average cost of repair will be $50 per repair and should the terminal be in service for t years, the number of breakdowns will be about t^4/3. If the replacement cost of the terminal is $250, when should Finch Analysts get a new terminal?",B,C
"A tax of $800 is paid on a property with an assessed value of $20,000. If the tax rate is increased 1%. what will the new tax cost be?",A,D
JaneCarpovheld a 60-day note for $4200 bearing interest at 5%. This note was discounted 25 days before maturity at 6%. Find the proceeds.,G,G
Herbie'sService Station bought a water pump from his supplier that has a list price of $40. His trade discount is $16. Find the net price.,E,B
"A cylindrical container is to be produced whose capacity is 10 cubic feet. The top and bottom of the container are to be made of a material that costs $2 per square foot, while the side of the container is made of material costing $1.50 per square foot. Find the dimensions that will minimize the total cost of the container.",A,A
"Mrs. Bracken is a widow who maintains a home for herself, her dependent father, and her two children. (a) What filing status should she claim? (b) How many exemptions is she allowed?",J,B
Describe a procedure that can be used to determine inventory turnover rate.,H,H
"Frank Burger owns a paint and wallpaper store. A customer wishes to paper a room that is 24 feet long, 18 feet wide, and 9 feet high. There is a window 3 feet by 8 feet and a door 4 feet by 9 feet. Allowing for a 10% waste of paper, how many single rolls of paper (36 square feet of paper in a single roll) will be required?",C,C
"Jefferson's Clothing has current assets of $150,000, current liabilitiesof $50,000, and capital of $200,000. What is their currentratio?",H,F
"Mr. Firestone signed a 90-day note for Ace Lending Company for $1,250 on October 10, 1976. On November 15, 1976, Ace had the note discounted at the bank at 6(1/2)%. What were the proceeds?",J,C
"Nelson's Cycle Shop had a January 1 inventory of $30,156. During the month, new merchandise purchases totaled $28,300, and sales totaled $72,600. If the margin on sales was 45%, estimate the final inventory.",G,B
"The milline rate is the cost of placing one agate line of space for one million readers. What is the milline rate for newspaper Y whose circulation is 878,000 and whose cost is $1.70 per line.",E,B
"______ regulation goes further than the ______ that CSOs have with businesses, as it also concerns _______of such processes.",B,G
"The enforcement of company privacy is complex as corporations are somewhat __________, as there are few clear barriers to define their limits, it is difficult to _________ due to the number of individuals involved and much corporate activity takes place in ________.",I,D
"According to Mitchell et al (1997) ______, the perceived ability of a stakeholder to influence organisational action, ________ whether the organisation perceives the stakeholder's actions as desirable, proper and appropriate and ________, the immediacy of attention the stakeholder claims require, determine stakeholder ________.",C,A
_______ and _______ are both examples of _______ -based theories which are based on basic universal principles of right and wrong.,G,B
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,C,C
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,C,I
" This is where the manufacturing, purchasing, and consumption can occur at differing points in time.",D,D
"This branding policy requires that all the products use the organization's name, either entirely or in part, e.g. Microsoft, Heinz, and Kellogg's",D,A
" During the __________ stage of the adoption process, the innovation is tried for the first time. Sales promotions are often used as samples to allow individuals to test the product without any undue risk. Individuals accept or reject an innovation on the basis of their experience of the trial.",J,J. Implementation.
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,F,H
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,H,H
"If a stock pays a $5 dividend this year, and the dividend has been growing 6% annually, what will be the stock’s intrinsic value, assuming a required rate of return of 12%?",G,B
"Ms. Fogg is planning an around-the-world trip on which she plans to spend $10,000. The utility from the trip is a function of how much she actually spends on it (Y), given by U(Y) = ln Y. If there is a 25 percent probability that Ms. Fogg will lose $1,000 of her cash on the trip, what is the trip’s expected utility?",G,G
"Suppose we are given the following information. Use this information to calculate abnormal return. Rf: 4%
Rm: 12%
Beta of the Portfolio: 1.8
Beginning Value of Portfolio: $50,000
Ending Value of Portfolio: $60,000
What is the abnormal return?",C,B
"The returns on a stock are 2.45% at 2018, 5.42% at 2019, -13.83% at 2020. What is the compound annual rate (between -1 and 1) of return over the three years.",E,C
"Suppose there are 100 identical firms in a perfectly competitive industry. Each firm has a short-run total cost function of the form C(q) = \frac{1}{300}q^3 + 0.2q^2 + 4q + 10. Suppose market demand is given by Q = -200P + 8,000. What will be the short-run equilibrium price?",A,C
"Mr. Samuels purchased 50 shares of stock when the round lot price was 146(1/8). The odd-lot differential on the sale is 1/4 of a point. Using the table of Brokerage Rates below, calculate the Commission on the sale. BROKERAGE RATES ON ODD LOTS Amount of Purchase Commission $100 - $799 2.0% plus $4.40 up to $65 $800 - $2,499 1.3% plus $10 up to $65 $2,500 and above .9% plus $20 up to $65",F,B
"Mike sold an automobile that cost him $12,640 for $11,628.80. What percent is the selling price of the cost?",B,B
"On January 3, Mr.Totteninsured his store against fire loss for$350,000 at $.95 per $100, as well as the contents of the storefor $500,000 at $.86 per $100. On July 6 he canceled thepolicy. What was his refund?",F,B
"Under the Truth-In-Lending regulations, what must a retailer indicate on the sales contract as the annual interest rate if he charges 1(1 / 2)% interest per month on the unpaid balance of each customer's account?",I,C
"Pinson's Wholesale Hardware Company is taking a year-end inventory of all merchandise on hand. Among the items to be counted are steel bolts. There are 44,000 of these bolts on hand by actual count on December 31. The purchase and inventory records reveal the following information: Quantity Cost per M January 1 (beginning inventory) 27,000 $6.00 March 12 purchase 50,000 $6.50 September 11 purchase 35,000 $7.00 December 3 purchase 40,000 $7.50 Find the value of the December 31 inventory by (a) the average cost method, (b) the FIFO method, and (c) the LIFO method.",G,G
Family Games Wholesalers is offering the Captain Marvel Pinball Machine at a list price of $900 with a 25% discount. What is the net price of the pinball machine?,I,F
ABC Trucking Company charges a race of $.084 per pound totransport equipment from New York City to Albany. What wouldthey charge to ship a 275-pound washing machine?,E,C
"Adams Manufacturing Company recently suffered a fire loss of $45,000. Their insurance was distributed between two insurance companies as follows: Company Name Amount of Policy Acme Insurance $50,000 Safe Way Insurance $30,000 How much of the loss did each of the insurance companies pay to Adams?",D,B
"A house, valued at $10,000 and insured for $7,000 with an 80% coinsurance clause, is damaged by fire to the extent of $8,500. How much will the insurance company pay on the loss? How much of the loss must the owner assume?",H,B
"Last year, Mr. Donald received dividends from his stocks of $48, $64, $82.50, and $90. If his total investment was $12,450, what was the rate of return on Mr. Donald's investment for the year? Give answer to nearest (1/10)%.",G,C
"Ms. Finer owns two houses in a town where the tax rate is $43.72 per $1000. Their market values are $17,000 and $25,000, respectively. If the houses are assessed at the rate of 75%, how much real estate tax does Ms. Finer pay?",H,B
"Jack sells magazine subscriptions door to door after school. He is paid 85 cents commission on every subscription he sells. Last week, he sold 17 subscriptions. What was the amount of his commission?",B,B
Mr. Jackson has borrowed $150 from his bank. The loan must be paid in 90 days and has an interest rate of 6%. Find the amount due at the end of the 90 days.,F,B
"The assessed valuation of the property of the city of Booksvilleis $50,600,000.Booksvillerequires property taxes of $4,500,000. What is its tax rate? Per $100? Per $1,000? (Carry division to 5 decimal places.)",I,C
"Find the markup in dollars on $230,000 worth of stock at retail if the cost is 70% of this selling price.",D,C
Jackson and Co. are buying electric blankets for $18.75 each. They wish to have a markup of 40% on the cost. Find their selling price.,G,C
A stereo with a cash price of $895 can be purchased on the instal-lment plan for 15% down and 30 monthly payments of $29.42. What is the finance charge on the installment plan?,E,C
"Quinones Bros, has been in business for four years. Management has estimated the gross annual earnings after t years to be \surd(10t^2 + t + 236) in thousands of dollars. What was the annual rate of growth of earnings after four years? As a percentage, what was the rate of growth of the earnings after four years?",E,D
"Y is paid $380 semi-monthly. W receives $55 per day, and works four days each week. U is paid $480.00 per month S makes a bi-weekly salary of $515. All are paid for a 52-week year a) What is the yearly salary of each? b) How much does each student make, per week?",F,A
"What is the tax on a store with an assessed valuation of $6,640, if the tax rate is $3.87 per $100 and an additional charge of 2% of the tax is added as a collector's fee?",D,D
Find the costof each order. (a) 346 glasses @ 50 \textcent each (b) 870 nails @ 3(1/ 2) \textcent each (c) 125 chains @ $16.48 each.,H,C
Find the total sale in a gas station if a motorist purchases 13 (6/10) gallons of gas at $.539 a gallon and 2 quarts of oil at $1.10 a quart.,J,C
"Mr. Bancroft of the Second National Bank approved 3 loans today. The first one was to Ms. Atlas for $1,800 at 6% for a period of 60 days. The second one was to Mr. Johnson for $2,400 at 5% for 3 years. The third one was to Mr. Breakman for $7,000 at 6(1 / 2) % for 4 years. How much interest will each of them have to pay?",I,C
"A piano, priced at $1250, plus 4(1/2)% tax, was purchased on the installment plan with a down payment of 10% of the cash value, with 18 months in which to pay the balance. If a service charge of 12% was added to the unpaid balance, what was the monthly installment? What was the total cost of the piano?",H,D
"While she was on a recent business trip, May C. Carlisle spent the following amounts: hotel, $63; meals, 42.90; laundry, $3.75; tips, $9.50; taxis, $7.85; telephone, $11.30; customer entertainment, $36.60; and supplies, $4.30. If Ms. Carlisle started out with $300 and paid cash while she was away, how much did she have left?",A,D
"What is the effective yield of a $1,000 bond, maturing in one year, and purchased for $960, if it earns a nominal annual interest rate of 6% ? Give answer to nearest (1 / 10)% .",F,A
"Norman Stevens lives in a town where 28% of the property tax is passed along to the county government. Mr. Stevens owns a home which was assessed for $17,400. If the town's tax rate is $24.90 per $1,000, how much of his tax was passed along to the county government?",F,B
A stereo system sells for $200. The cost to the store is $120. Find the dollar markup.,A,A
"Friedman Brothers accepted a 60-day sight draft on April 10, for $562.50. It was discounted on April 15 at 6%, find the proceeds.",B,B
"Salesmen for the Yearly Almanac Co. receive a 10% commission on all sales above $2,500, and a salary of$300 per month. What would a salesman's income be if his total sales in one month were $5,070.20?",H,C
"A factory can produce 699 units of type I automobile suspension struts in an hour (using a new machine) at an average cost of $1.20 per unit. It also can produce type Y struts from the machine (30 per hr.) at a cost of $1.30 per unit. Each 24 hour production day has a budget of $4,005. The factory wants to produce as many type Y struts as possible, but has a quota of 2,700 type I struts per day. (i) How many type Y struts are produced daily? (ii) Is the factory's budget sufficient?",E,B
"Mr. Louis is presently considering buying a new boat to give rides to tourists. He has two alternatives: Boat A costs $10,000 and consumes $2,000 in fuel per year. Boat B costs $7,000 and consumes $2,500. Both boats have a zero salvage value at the end of 10 years. If Ur. Louis considers a rate of return of 6% acceptable, (a) which boat should he purchase? (b) how much will he charge each tourist if there are 3 tourists to a ride and Mr. Louis plans to have 125 rides each year?",B,A
What is the difference between assets and liabilities called?,F,D
BuzzReinhausworked 63 hours last week. He was paid time and a half for 15 hours and double time for 9 hours. His regular rate was $2.60 per hour. Calculate Buzz's total earnings for the week.,B,E. $234.90
"J. S.Bacq& Co. runs a ""penny arcade"" with the following fixed costs: Wages and electricity: $500 per week Upkeep and miscellaneous: $100 per week. As a sales incentive, the Arcade distributes a surprise gift to each customer. Each gift costs the Arcade $2.00. The sole charge in the Arcade is $6.00 for admission. Management wants to make $1,000 profit each week. How many people must visit the Arcade weekly to realize this much profit?",J,B
"At the beginning of the 19X1 fiscal year Company X had $28,000 of accounts receivable. At the end of the fiscal year it had $32,000. of accounts receivable. Sales in 19X1 were $850,000. At the end of the 19X2 fiscal year, accounts receivable were $35,000. Sales in 19X2 were $920,000. Using a 360 day year and given that Company X's desired rate of return is 10%, (a) find the average collection period (in days) for 19X1 and 19X2 (b) find the cost (or saving) in extending (or reducing) the credit period during the two periods.",H,D
"Ringlet Wholesalers discounted its old line of dining-room sets at a chain discount of 30% and 10%. If the discount offered was $248.40, what was the list price and the net price of each set?",F,B
"____________ refers to a strategic process involving stakeholder assessment to create long-term relationships with customers, while maintaining, supporting, and enhancing the natural environment.",I,D
"Businesses have _____ within society and have the potential to provide a ____ to society while ____ has the potential to inflict enormous harm on individuals, communities and the environment.",J,J
"The focus on issues, the intended audience extending beyond shareholders and the voluntary nature of ___________ distinguish it from _________.",I,I
Which of the following is the name for a coupon that is included in a package for later purchase?,G,G
Services are characterized by five distinct characteristics. These are:,C,C
What is a normative perspective?,G,G
What is not an assumption underpinning the rational decision making model?,H,H
What type of organisational culture is most likely to deliver stability and efficiency?,D,D
"Lore Ltd. estimates that its dividend growth will be 13% per year for the next five years. It will then settle to a sustainable, constant, and continuing rate of 5%. Let’s say that the current year’s dividend is $14 and the required rate of return (or discount rate) is 12%. What is the current fair value of Lore Ltd. stock?",I,C
Suppose that there are two firms in the market facing no costs of production and a demand curve given by Q = 150 - P for their identical products. Suppose the two firms choose prices simultaneously as in the Bertrand model. Compute the prices in the nash equilibrium.,C,A
"Estimate the PEG ratio for a firm that has the following characteristics:
Length of high growth = five years
Growth rate in first five years = 25%
Payout ratio in first five years = 20%
Growth rate after five years = 8%
Payout ratio after five years = 50%
Beta = 1.0 
Risk-free rate = T-bond rate = 6%
Cost of equity = 6% + 1(5.5%) = 11.5%
Risk premium = 5.5%
What is the estimated PEG ratio for this firm?",H,B
"Three years ago, Fred invested $10,000 in the shares of ABC Corp. Each year, the company distributed dividends to its shareholders. Each year, Fred received $100 in dividends. Note that since Fred received $100 in dividends each year, his total income is $300. Today, Fred sold his shares for $12,000. What is the holding period return of his investment?",I,C
Consider two 5 year bonds: one has a 9% coupon and sells for 101.00; the other has a 7% coupon and sells for 93.20. What is the price of a 5-year zero-coupon bond.,B,E
